RegionID,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2018,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2019,% of increase-3BHK
1020,Fulton County,GA,Atlanta-Sandy Springs-Roswell,13,121,48,113739,114233,114968,115544,116204,116829,117400,117957,118573,119441,120111,120588,120689,120916,121067,121313,121642,122264,122982,123645,124306,125424,126405,127160,127274,127512,127964,128839,129952,130705,131452,132024,133120,134262,135385,136229,136647,137298,138110,139391,140681,142080,143242,144221,145154,145710,146732,147544,148803,149726,150761,151956,153113,154369,155696,156884,158051,159134,160295,161302,162038,162727,163656,164754,166046,167350,168672,169821,170842,171793,172666,173047,173277,173511,174271,175004,175620,176118,176686,177569,178205,178957,179409,180053,180174,180266,180365,180651,180927,181245,181566,181621,181871,182603,183773,184513,185005,185295,185559,185881,186731,187718,188676,189203,189888,190697,191475,192066,192502,193130,193941,194733,195836,196953,197886,198378,198868,199629,200222,200231,199532,199349,199600,200873,201862,203002,204153,205118,205778,206294,206665,207134,206974,207027,207331,208072,208698,208647,208092,207212,206145,204460,202134,199761,198121,196765,195331,192997,190573,188267,186211,183562,179905,175721,172034,168526,165045,160826,157350,154547,152855,151616,150587,149240,147620,145586,144217,143379,143999,144516,144354,142539,140781,138133,136124,133876,132766,131405,130391,128880,127261,124863,122989,121239,119752,118559,117583,117409,116723,116306,115740,115872,116317,117029,117532,117932,118189,118326,118211,118354,118964,120110,120969,122567,124018,125762,127109,128903,130813,133130,135054,137059,138601,140235,141809,142740,143869,144670,146067,147442,148738,149499,150000,150549,151403,152353,153337,154893,156654,158939,160840,161864,162092,162222,162823,164319,165042,166211,167376,169554,171741,173239,174010,174448,174943,175017,176043,177554,180186,182450,184607,186667,188021,189518,191077,192854,194544,196760,198637,200562,202179,202820,203729,204969,208064,211404,214405,216968,218493,220321,221846,223581,224573,214264.4167,225697,226471,227776,229149,231218,231665,232438,232485,233244,233491,233926,235320,231073.3333,7.27%
2314,Gwinnett County,GA,Atlanta-Sandy Springs-Roswell,13,135,65,113871,113967,114180,114449,114702,115059,115506,116113,116811,117431,117892,118096,118194,118345,118552,118831,119166,119587,120095,120527,121060,122105,123123,123820,123872,124041,124379,124860,124957,125239,125566,126815,127634,128608,129086,129769,130194,130629,131198,131890,132476,133163,133902,134761,135742,136675,137604,138274,138960,139705,140540,141355,142218,143161,144228,145209,146342,147339,148226,148731,149136,149637,150157,150760,151418,152232,153112,153878,154737,155545,156374,156866,157194,157465,157747,158049,158373,158933,159600,160121,160770,161338,161903,162098,162121,162056,162030,162104,162287,162564,162924,163364,163937,164439,164864,164987,165083,165248,165324,165466,165629,166166,166710,167148,167598,168089,168643,168836,168960,169177,169543,169962,170338,170991,171731,172505,173247,173892,174511,174776,175099,175510,176123,176696,177198,177611,178053,178363,178808,179052,179326,179532,179742,180008,180122,180293,180376,180331,180384,179956,179543,178215,177374,176059,175438,174238,173124,171359,169450,167908,166269,163757,159706,155891,152434,150493,148641,147328,145928,145251,145184,144895,143969,143250,142712,141977,140579,139373,138993,138531,138341,136641,134710,131329,128439,125909,123879,121573,119710,117565,115614,112655,109851,107615,106804,106922,107023,106548,105050,104001,102579,103136,103762,104682,105655,106920,107641,107206,106448,106790,107965,109562,111908,114322,116696,119265,121758,124455,127299,130310,133193,135281,137166,138463,139543,140589,141591,142695,143319,144406,144893,145236,145628,146370,147184,148345,149432,150050,150540,151104,152412,153330,154371,155154,155916,156351,157104,158019,159043,160364,161755,163404,163977,164352,164821,165789,167136,168072,169520,170492,172149,173226,174379,175620,177312,178670,179154,179759,180520,181916,183135,185431,187049,188757,190182,192018,193812,195123,196609,198223,199903,200948,202195,194187.5,202741,204069,205292,207011,208051,208243,208779,209526,210536,211159,212429,213911,208478.9167,6.86%
984,Dekalb County,GA,Atlanta-Sandy Springs-Roswell,13,89,85,122138,122662,123138,123650,124269,125000,125488,126088,126510,127348,127969,128882,129331,129696,129698,130159,131042,132173,133027,133546,134004,135088,136081,136893,137023,137467,137968,138544,139273,140226,141287,142196,142855,143751,144521,145420,145936,146582,147322,148421,149538,150828,151982,153221,154499,155884,157173,158411,159641,160946,162173,163597,165220,166953,168456,169795,171146,172743,174120,175251,175815,176466,177086,178066,179155,180416,181429,182387,183236,184245,185037,185552,185642,185732,185935,186210,186583,187070,187548,187886,187984,188576,188931,189229,188844,188689,188505,188596,189075,189697,190300,190514,190772,191051,191193,191110,190777,190754,190827,191189,191602,192411,193072,193574,193816,194615,195067,195529,195528,195926,196665,197309,198192,198826,199259,199830,200135,200910,201042,201069,200841,200430,200190,200353,200939,201263,200854,200177,200619,201575,202386,202232,201887,201760,201221,200919,200359,199814,198452,196482,195076,193221,191060,187776,185002,182893,181040,179255,177537,175893,173663,169712,165575,160502,157053,153475,150620,147648,144686,141944,140068,138304,137604,136601,136420,136504,136388,134881,134070,133838,134291,132872,130389,128159,126127,124148,121924,120251,118872,117185,114314,110657,107203,105032,103913,103298,103073,102501,101587,99450,98483,98558,99801,100472,101678,102545,102983,102412,101897,101823,101607,102272,103032,104725,106626,108973,111136,112746,114562,116624,119010,121527,123604,124011,124450,125499,127595,129456,130666,131770,132270,132608,132956,133387,133872,134540,134968,135270,135684,136649,137798,139089,140358,141492,141850,142425,143314,145260,146492,147745,149032,150412,151855,152113,152301,151554,152011,153327,154689,154719,155297,156419,158146,159202,160629,162431,163144,164469,165885,168525,171576,174453,176835,179425,181763,184373,185798,187676,188453,189178,190049,191563,193229,185232.9167,194496,196261,197807,199330,199844,200328,200449,200914,201100,201590,202786,203995,199908.3333,7.34%
135,Cobb County,GA,Atlanta-Sandy Springs-Roswell,13,67,86,108163,108694,109151,109478,109749,110004,110353,110769,111237,111737,112127,112423,112588,112773,113019,113421,113919,114596,115219,115864,116411,117518,118395,119252,119426,119760,120119,120703,121386,122151,122692,123246,123645,124471,125269,126116,126695,127250,127892,128700,129547,130635,131593,132561,133111,134112,134777,135777,136334,137158,137836,138546,139449,140837,142316,143415,144192,144901,145708,146406,146970,147587,148108,148667,149325,150077,150819,151588,152217,152995,153718,154370,154811,155109,155377,155728,156214,156802,157282,157673,157631,157751,157603,157772,157823,158166,158641,159227,159940,160752,161246,161741,162006,162129,161963,162099,162574,163065,163505,163986,164815,165311,165739,165803,166191,166735,167492,167723,168003,168643,169509,170122,170471,171068,171728,172220,172657,173296,173709,173853,173997,174423,175230,176067,176826,177332,177414,177123,177072,176661,176623,176664,177256,178115,178562,178941,178525,177827,176525,174687,174062,173179,172882,171550,171135,170674,170281,169814,169333,169023,168563,167592,165386,163046,161775,160762,159045,157042,155838,156117,155579,154762,153118,152185,152102,151342,151088,150771,151438,150930,149512,146480,143717,140495,138579,136247,134518,132277,130931,129408,127880,125608,123600,122437,122902,123214,122771,122561,121691,122376,121958,123122,123192,124001,125082,126248,126015,125108,125446,127059,128572,129466,130029,131037,132746,134840,136886,138887,141469,144443,146594,147689,148556,149735,151687,153322,154403,154918,155297,156031,156693,157355,158208,159436,160840,161825,162117,162119,162680,164047,165546,165830,166395,166965,168219,169255,170263,170919,172191,174208,176513,177660,178121,178315,178425,178175,178440,179154,180975,182203,183464,184207,185661,187301,189155,191115,192096,193204,194225,196072,198569,200292,202612,202804,203803,203884,205456,206657,207523,207900,209081,210998,212436,206120.5,213817,214023,215487,216477,218542,218949,219159,219880,221778,223251,223884,224341,219132.3333,5.94%
1608,Chatham County,GA,Savannah,13,51,246,87966,88172,88407,88663,88900,89111,89306,89615,90009,90364,90673,90921,91286,91700,92208,92728,93183,93602,93988,94488,95086,96045,96883,97522,97799,98078,98502,98988,99574,100093,100465,100854,101279,101344,101455,101571,102190,102747,103336,103909,104474,105006,105499,105990,106424,106777,107150,107527,108014,108489,108995,109514,109990,110477,111014,111867,112862,113904,114410,114887,115288,115897,116284,116498,116468,116402,116333,116628,117211,117818,118275,118514,118803,119295,119855,120591,121085,121656,122187,122945,123546,124100,124368,124718,124905,125356,125777,126423,127123,127977,128895,129835,130907,131859,132531,133048,133790,134976,136423,137926,139621,141203,142630,143767,144903,145960,146963,147944,149203,150436,151860,153169,154390,155481,156579,157708,158946,159989,161035,161917,162992,164027,165080,165893,167025,168037,169479,170496,171629,172240,172823,173086,173420,173537,173704,173553,173752,173609,173629,173401,173493,173384,173380,173226,173134,172482,171785,170922,169696,168295,166806,165558,164114,162880,162012,161449,160932,160456,159810,158978,157911,157301,156922,156741,156238,155765,155596,155705,155545,155166,154759,154612,154296,153588,152733,151935,150971,149733,148593,147618,146246,144619,142788,141300,139982,139464,139206,139070,138258,137638,137135,137385,137686,137735,136793,135990,135725,136201,136739,137024,137265,137312,137662,137877,138258,138566,139136,139600,140211,140543,141010,140481,139844,140296,141288,142677,142979,143425,144065,144762,145303,145751,146005,146119,145965,145878,146225,146564,146787,147100,147748,148556,149260,149718,150211,150633,151138,151418,151463,151592,152346,153271,154151,154206,154077,153472,153055,152817,153024,153713,154083,154212,154127,154506,155256,156274,157441,158669,159620,160619,161531,162272,163172,163939,165117,165734,166371,166592,167153,167653,168545,169166,169813,166293.9167,170089,170737,171665,172363,172917,173049,173867,174390,175220,175357,175904,176600,173513.1667,4.16%
1622,Clayton County,GA,Atlanta-Sandy Springs-Roswell,13,63,251,63902,63961,64088,64199,64238,64258,64314,64544,64844,65259,65652,65992,66286,66572,66878,67110,67326,67497,67605,67851,68213,68836,69307,69604,69672,69804,70012,70318,70539,70758,70931,71225,71617,72144,72613,72994,73294,73596,73943,74232,74481,74699,74960,75353,75866,76506,77120,77641,78114,78588,79170,79752,80292,80763,81091,81524,82335,83133,83844,84187,84640,85123,85776,86413,86945,87294,87660,88192,88759,89479,90016,90457,90728,91028,91346,91599,91831,91979,92105,92387,92854,93496,94040,94405,94702,94890,95089,95178,95268,95300,95310,95454,95786,96280,96554,96550,96417,96317,96335,96327,96381,96374,96345,96474,96759,97370,97899,98326,98491,98575,98676,98658,98636,98679,98791,98970,99152,99592,99980,100190,100079,99782,99399,98745,97958,97174,96534,96563,96717,97275,97577,97854,97713,97469,97253,97119,96547,95683,94955,94370,93910,92366,90491,88763,87467,86220,84427,82514,81632,80042,78635,76158,74286,72276,70034,67858,65957,64627,62993,61043,58881,57783,57155,56766,56043,55147,54415,53918,53150,53236,54138,55451,55366,54296,52913,52017,50925,49682,48673,47563,46887,45483,43981,42482,42117,42973,43801,43732,42680,42456,42211,42174,41874,41850,42177,42790,43513,43966,44218,44891,45725,46372,47178,48413,49644,50901,52433,53903,55270,56189,57484,58835,60083,61168,62178,63170,64737,66217,67128,67313,67841,68786,69512,69710,69847,69876,70221,70397,69981,69849,70069,71907,73221,74376,74525,74500,74710,74471,74576,74758,75981,76525,77017,76904,76925,76934,77599,78642,79550,80186,80844,82560,84475,86154,86966,88008,89246,90159,91125,92425,93720,94489,95987,96922,98440,99813,101761,103630,105364,107159,109209,110414,112359,102962.25,114506,116339,118584,120026,121622,122040,122107,122619,123922,125405,126602,127695,121788.9167,15.46%
2188,Cherokee County,GA,Atlanta-Sandy Springs-Roswell,13,57,290,117947,118220,118485,118851,119232,119788,120296,120827,121313,121943,122588,123107,123431,123726,124191,124807,125344,125999,126505,127080,127475,128258,128863,129414,129565,130131,130723,131540,132236,132954,133593,134179,134919,135774,136538,137250,137900,138575,139248,139949,140689,141505,142281,143043,143687,144261,144926,145569,146003,146646,148117,149623,150821,150074,150429,150870,152554,153389,154109,154742,155365,156108,156753,157377,157968,158721,159438,160115,160867,161737,162466,163064,163531,164198,164834,165393,165858,166380,166854,167225,167459,167797,168153,168546,168604,168794,168807,169172,169504,170055,170479,170816,171189,171756,172350,172763,173030,173247,173535,173798,174151,174601,175105,175618,176055,176621,177196,177622,177963,178230,178606,178966,179421,180044,180718,181390,182018,182688,183366,183991,184586,185249,185776,186290,186785,187584,188304,188920,189466,190191,190834,191316,191610,191972,192298,192445,192532,192353,191348,190409,188769,188055,186926,186421,185809,185203,184473,183557,182327,181529,180825,180326,179284,177531,175444,172455,170437,168552,167432,165965,164686,163871,162804,162078,161148,160449,159709,159336,159022,159174,158963,158319,156794,154874,153106,150708,148076,145656,144160,143164,141321,138554,136106,134377,133586,132619,132158,131504,131084,130785,130877,131577,133500,135128,136970,137799,138472,138254,137612,138289,139039,140218,141249,142722,144295,146222,148590,151066,153530,155946,158987,160859,162418,163737,164676,165720,165947,166321,166320,166312,166385,166551,166105,166296,166671,166875,167114,167289,168149,169600,170875,172178,173204,173729,175167,175827,177569,179160,180582,181979,183274,184900,185999,186760,187714,188896,189596,190462,191249,191771,192567,193256,194854,194478,194358,194468,195974,197958,199784,202263,205236,207262,209181,209926,211167,212862,213380,214452,215104,218132,220629,223012,224341,214954,225687,227490,229474,231026,231828,232073,232761,233515,234252,235256,236007,236773,232178.5,7.42%
553,Henry County,GA,Atlanta-Sandy Springs-Roswell,13,151,301,103286,103316,103523,103868,104197,104410,104458,104618,104911,105433,105868,106179,106441,106948,107475,108099,108346,108635,108777,109150,109685,110440,111026,111305,111387,111602,112009,112413,112846,113258,113654,114119,114815,115642,116374,116765,117186,117617,118268,118906,119417,119797,120077,120558,121160,122000,122854,123551,124122,124461,124805,125315,125999,126871,127495,128164,128810,129639,130287,130792,131210,131720,132270,132683,133052,133356,133496,133761,134216,134888,135544,135955,136354,136523,136779,136999,137257,137527,137771,138071,138465,139074,139688,140137,140313,140391,140522,140488,140525,140532,140543,140710,141081,141766,142299,142470,142595,142754,143099,143387,143746,144118,144426,144811,145284,145963,146489,146777,146963,147125,147457,147895,148261,148525,148638,148945,149600,150509,151370,151842,152125,152371,152790,153213,153696,154170,154473,154788,155242,155832,156235,156268,156252,155980,155658,155251,154849,154288,153411,152565,152125,151326,150706,148625,146852,145153,144315,143395,141957,140970,139692,137383,134424,131885,129242,127362,124574,122507,119302,116816,114883,113337,111708,110219,109038,108038,106811,106090,106274,107656,108967,108853,106931,104975,103652,102895,101035,99761,98731,97964,95988,93001,90180,87913,86534,86061,86513,87012,85955,84330,83249,83957,84430,85295,85669,86786,87547,87925,88234,88524,89540,90817,92513,94590,96857,98625,100411,101459,103230,104893,107641,110379,113333,114936,115289,115283,115542,116738,117987,120057,121795,123124,123250,123351,123529,123400,123496,123795,125454,127304,128637,129094,129298,129514,129736,129746,129889,130322,130382,130422,130354,130584,131223,132126,133185,133794,134481,134909,135781,136614,137511,138289,139072,139970,140759,141347,142435,144050,145339,146458,147381,148129,149320,149804,150662,150694,151374,152560,153830,154917,156204,157186,157663,152695.25,156929,157416,159107,161698,162800,163507,163818,165138,165990,167052,168033,170066,163462.8333,6.59%
2509,Richmond County,GA,Augusta-Richmond County,13,245,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82715,82765,82436,82369,82436,82987,83822,84809,86193,87175,87839,88551,89525,90756,92004,93228,94434,95355,95935,96445,96655,97190,98069,98824,94868.33333,99399,99676,100393,100848,101289,101601,102015,102360,102565,102950,103326,103716,101678.1667,6.70%
2448,Muscogee County,GA,Columbus,13,215,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102672,103269,103843,104581,104972,105212,105722,106259,106698,107071,107473,107838,108077,107888,107862,108133,108975,109485,110142,110755,111732,112251,112867,113635,114640,115562,116268,116747,116765,116777,117116,117689,118123,118115,118140,117866,118267,118744,119217,118866,118172,117585,117089,116756,116270,116058,116018,116245,116295,115979,115575,115124,114748,114230,113683,113142,112615,111995,111300,110614,110304,110242,110411,110127,109712,109000,108311,107995,107450,107075,106597,106535,106246,105547,104141,103524,102978,103041,102381,101367,100258,99369,98456,97387,95912,94827,94128,93728,93638,93608,93273,92723,92160,91885,91808,91721,91729,91737,91817,91986,92095,91899,91577,91065,90664,90487,90465,90572,90260,89879,89507,89090,88677,88265,88246,88556,88898,89064,88767,88342,87929,88055,88459,88963,89002,88738,88372,88148,88142,88190,88331,88332,88341,88021,87700,87364,87227,87250,87373,87373,87486,87434,87455,87230,87102,87054,87097,87055,86836,86859,87177,87896,88536,89127,89631,90077,90485,90943,91602,92278,93590,94920,96151,96494,96503,96535,93267.41667,96647,96911,97296,97796,97710,97880,98039,98472,98658,99070,99726,100534,98228.25,5.05%
